,2-cps,3-cps,4-cps,5-cps,6-cps,7-cps,8-cps,9-cps,10-cps,11-cps,12-cps,13-cps,14-cps,15-cps,16-cps,17-cps,18-cps,19-cps,20-cps,21-cps,22-cps,23-cps,24-cps,25-cps,26-cps,27-cps,28-cps,29-cps,30-cps,31-cps,32-cps,33-cps,34-cps,35-cps,36-cps,37-cps,38-cps,39-cps,40-cps,41-cps,42-cps,43-cps,44-cps,45-cps,46-cps,47-cps,48-cps,49-cps,50-cps
nthroot_006897,77.105,77.289,77.032,77.307,77.362,77.655,76.977,77.16,77.674,78.059,78.279,78.059,78.334,78.499,78.224,78.077,78.041,78.261,78.279,78.738,78.701,79.05,78.921,78.921,78.921,78.151,78.848,78.775,78.793,78.976,78.775,78.866,79.05,77.545,78.72,78.958,79.105,79.013,79.178,78.976,79.086,79.178,79.123,78.738,79.252,79.031,78.683,78.995,78.885
nthroot_mm10,80.939,81.306,81.214,81.214,81.159,81.141,81.288,81.269,81.178,81.068,81.214,81.086,81.159,81.288,81.325,81.178,81.288,81.288,81.251,81.104,81.251,81.196,81.196,81.178,81.306,81.013,81.214,81.178,81.325,81.233,81.251,81.233,81.416,81.196,81.013,81.068,81.288,81.141,81.269,81.233,81.104,81.325,81.214,81.196,81.159,81.233,81.159,81.178,81.178
nthroot_01379,76.958,76.628,77.289,77.857,77.655,77.876,78.279,78.114,78.041,78.187,78.169,78.72,78.628,78.646,78.224,78.463,78.389,78.738,79.141,78.738,79.141,79.215,79.196,79.215,79.252,79.435,79.362,79.417,79.325,79.343,79.068,79.288,79.288,79.27,79.453,79.252,79.141,79.472,79.49,79.031,79.141,79.233,79.343,79.343,79.252,79.435,79.545,79.196,79.325
nthroot_08621,76.885,77.27,78.206,78.444,78.591,78.371,78.316,77.821,78.536,78.536,78.793,78.243,78.591,78.921,79.105,78.866,79.343,79.068,79.435,79.582,79.71,79.857,79.343,79.747,79.27,79.398,79.655,79.655,79.692,79.508,79.472,79.765,79.582,79.38,79.325,79.637,79.398,79.857,79.563,79.655,79.985,79.398,79.6,79.875,79.307,79.453,79.582,79.453,79.673
nthroot_mm006897,81.013,81.178,81.086,81.049,80.958,80.976,81.049,80.939,81.049,80.756,81.013,80.939,81.068,80.994,81.031,81.325,81.141,81.141,81.086,81.031,81.123,81.031,80.958,81.251,81.159,81.104,81.049,81.123,80.994,81.178,81.123,81.343,81.068,81.251,81.178,81.141,81.233,81.086,81.159,81.123,81.049,81.049,81.104,81.123,81.196,81.031,81.233,81.251,80.958
nthroot_04138,76.591,76.738,77.307,77.16,77.16,77.674,76.848,77.802,77.711,77.509,77.912,77.967,77.967,76.72,78.077,77.986,78.004,78.481,78.591,78.756,78.775,78.756,78.866,78.683,78.72,78.885,78.793,78.83,78.921,78.646,78.83,78.811,78.554,78.664,78.444,78.921,78.628,78.775,78.683,77.949,78.481,78.481,78.848,78.811,78.921,78.793,78.921,78.83,78.775
nthroot_0931,76.94,77.821,78.077,78.224,78.096,78.793,78.187,78.371,78.793,78.609,78.426,78.591,79.141,78.72,79.233,79.453,79.472,79.747,79.673,79.784,79.692,79.582,79.618,79.655,79.784,79.673,79.728,79.582,79.49,79.692,79.728,79.857,79.692,79.875,79.563,79.435,79.435,79.545,79.894,79.765,79.673,79.967,79.802,79.784,79.857,79.343,79.912,79.563,79.93
nthroot_mm05862,80.793,80.866,80.994,81.013,81.178,81.123,80.884,81.086,81.123,81.049,81.031,80.921,80.939,80.994,81.178,80.976,81.031,80.939,81.104,81.141,81.104,81.013,80.994,81.086,81.068,80.976,80.976,81.086,81.141,80.994,81.214,80.976,81.086,81.086,81.141,81.104,81.068,81.086,81.049,81.214,81.049,80.976,80.939,80.939,81.013,81.068,81.086,81.123,81.159
nthroot_mm003448,80.811,81.435,81.104,81.251,81.214,81.325,81.013,81.269,81.288,81.178,81.269,81.398,81.288,81.214,81.288,81.251,81.416,81.269,81.398,81.123,81.306,80.866,81.269,81.38,81.325,81.288,81.435,81.38,81.471,81.325,81.38,81.141,81.361,81.343,81.361,81.214,81.269,81.38,81.288,81.471,81.343,81.251,81.214,81.325,81.141,81.38,81.38,81.233,81.361
nthroot_06552,77.252,77.582,77.454,77.821,78.096,78.224,78.224,78.444,78.279,78.536,78.077,78.609,78.298,78.628,78.775,78.371,79.215,79.031,79.196,79.362,79.545,79.655,79.6,79.673,79.508,79.508,79.6,79.288,79.27,79.215,79.545,79.288,79.362,79.472,79.27,79.784,79.508,79.27,79.435,79.453,79.343,79.325,79.417,79.288,79.49,79.325,79.398,79.27,79.05
nthroot_mm06207,81.068,80.903,81.068,81.049,81.104,80.921,81.068,81.141,81.031,81.031,81.049,81.104,81.031,81.068,80.994,81.049,81.141,81.159,81.068,81.031,81.251,81.031,81.049,80.756,80.994,81.196,81.068,81.068,81.049,81.068,81.196,81.123,81.049,81.123,80.994,81.251,81.141,81.123,80.994,81.123,81.325,81.159,80.976,81.178,81.013,81.013,81.013,80.958,81.068
norm_4,80.884,81.141,81.123,80.884,80.903,81.104,80.958,81.068,81.013,81.031,81.068,81.233,80.958,80.976,81.178,80.921,81.288,81.086,80.774,80.554,80.958,81.068,81.049,81.049,81.123,80.866,81.196,81.159,80.389,81.159,81.288,81.104,81.233,81.233,81.086,80.921,81.233,80.994,80.958,81.251,81.214,80.866,80.719,81.031,81.013,80.994,81.178,81.214,81.068
nthroot_mm06897,80.976,80.976,81.086,81.104,80.866,81.233,81.086,80.958,81.068,81.031,81.123,81.049,81.123,81.159,81.068,81.141,80.976,81.068,81.068,81.068,81.031,81.178,81.013,81.068,81.068,81.068,81.013,80.958,81.013,80.994,81.141,81.049,81.123,81.086,81.159,81.049,81.068,81.159,81.288,80.921,80.994,80.866,81.031,81.123,80.921,81.086,80.994,81.049,81.049
nthroot_02069,76.94,77.05,77.857,77.912,78.224,78.022,77.986,78.353,78.591,78.426,78.518,78.444,78.72,78.591,78.353,77.949,78.793,78.132,79.031,79.325,79.362,79.215,79.343,79.6,79.141,79.105,79.655,79.288,79.453,78.811,79.325,79.545,79.435,79.508,79.325,79.508,79.196,79.288,78.811,79.472,79.252,79.178,79.398,79.453,79.563,79.325,79.068,79.527,79.27
norm_11,81.049,81.269,81.288,81.196,81.325,81.233,81.141,81.178,81.288,81.288,81.233,81.086,81.398,81.306,81.251,81.325,81.269,81.288,81.196,81.251,81.196,81.196,81.325,81.269,81.288,81.361,81.343,81.123,81.196,81.214,81.214,81.251,81.159,81.233,81.141,81.38,81.251,81.233,81.306,81.343,81.398,81.269,80.536,81.306,81.325,81.343,81.435,81.141,81.086
