,2-cps,3-cps,4-cps,5-cps,6-cps,7-cps,8-cps,9-cps,10-cps,11-cps,12-cps,13-cps,14-cps,15-cps,16-cps,17-cps,18-cps,19-cps,20-cps,21-cps,22-cps,23-cps,24-cps,25-cps,26-cps,27-cps,28-cps,29-cps,30-cps,31-cps,32-cps,33-cps,34-cps,35-cps,36-cps,37-cps,38-cps,39-cps,40-cps,41-cps,42-cps,43-cps,44-cps,45-cps,46-cps,47-cps,48-cps,49-cps,50-cps
nthroot_mm03448,81.343,81.416,81.526,81.471,81.526,81.453,81.508,81.123,81.563,81.471,81.508,81.471,81.655,81.398,81.104,81.49,81.471,81.49,81.49,81.49,81.508,81.49,81.545,81.471,81.38,81.563,81.288,81.526,81.618,81.416,81.545,81.655,81.545,81.508,81.325,81.398,81.38,81.361,81.251,81.435,81.508,81.435,81.563,81.49,81.508,81.545,81.361,81.6,81.398
nthroot_04828,76.702,76.977,77.637,77.454,77.894,77.857,77.821,78.261,78.243,78.224,77.967,78.187,78.243,78.096,77.931,78.591,78.004,78.609,78.353,78.536,78.885,78.683,78.958,78.389,79.013,78.628,79.16,78.94,78.775,78.738,79.16,79.215,78.756,79.031,78.738,78.628,78.756,79.086,78.866,78.866,77.692,78.701,78.995,78.848,78.903,78.921,78.866,77.912,79.031
nthroot_05172,76.059,77.068,77.545,77.289,77.729,77.674,78.114,77.986,77.564,78.206,78.022,77.692,78.298,78.389,78.444,78.444,78.261,78.756,79.05,79.215,79.068,79.086,79.215,79.27,79.233,78.903,79.508,79.196,79.196,79.362,79.105,79.215,79.16,79.141,79.086,79.252,78.866,79.215,79.288,79.215,79.013,79.453,79.233,79.343,78.921,79.325,79.196,79.233,79.068
norm_31,81.178,81.233,81.453,81.288,81.343,81.159,81.269,81.306,81.141,81.214,81.141,81.288,81.141,81.325,81.104,80.976,81.196,81.288,80.866,81.325,81.123,81.251,81.178,81.178,81.196,80.793,81.178,81.159,81.251,81.159,81.306,81.196,81.251,81.251,81.251,81.288,81.325,81.251,81.141,81.196,81.196,80.994,81.178,81.086,81.251,81.251,81.269,80.022,80.793
nthroot_07931,77.545,76.885,78.096,78.187,78.444,77.949,78.151,78.426,78.628,78.481,78.279,78.334,78.389,78.976,78.683,78.811,79.141,79.068,79.38,79.178,78.921,79.417,79.692,79.82,79.472,79.582,79.435,79.582,79.105,79.38,79.435,79.618,79.71,79.545,79.417,79.086,79.453,79.288,79.252,79.325,79.27,79.563,78.958,79.545,79.27,79.655,79.655,79.673,79.618
nthroot_mm07586,80.627,80.976,80.921,80.829,80.737,81.068,80.903,80.939,81.178,80.793,81.196,80.958,81.104,81.251,81.068,81.325,80.958,81.086,81.031,81.141,81.141,80.994,81.031,81.196,81.178,81.068,81.233,81.123,81.178,81.233,81.086,80.939,81.343,81.325,81.049,81.159,81.086,81.233,81.031,81.251,81.196,81.325,81.068,81.068,81.159,81.159,81.068,81.233,81.325
nthroot_05862,76.83,77.857,77.931,78.004,78.224,78.096,77.912,78.022,77.949,78.132,78.72,78.389,78.187,78.077,78.518,78.536,78.756,79.05,79.031,79.252,79.417,78.976,79.252,79.325,79.215,79.343,79.141,79.49,79.141,78.958,79.343,79.196,79.086,79.105,79.453,79.38,79.233,79.38,79.16,79.417,79.27,79.178,79.252,79.252,79.086,79.343,79.307,79.233,79.398
nthroot_10,77.234,78.059,78.463,78.353,78.206,78.408,78.371,78.463,78.848,78.811,78.591,78.609,79.123,79.325,79.16,79.435,79.307,79.527,79.233,79.6,79.582,79.692,78.94,79.582,79.563,79.637,79.123,79.618,79.765,79.728,79.527,79.508,79.417,79.343,79.307,78.664,79.325,79.637,79.16,79.508,79.692,79.417,79.38,79.6,79.472,79.728,79.784,79.784,79.508
nthroot_mm03793,81.416,81.71,81.71,81.673,81.802,81.838,81.71,81.765,81.71,81.728,81.783,81.783,81.802,81.673,81.802,81.71,81.82,81.691,81.691,81.783,81.82,81.691,81.673,81.746,81.655,81.802,81.783,81.691,81.765,81.765,81.765,81.857,81.71,81.636,81.655,81.71,81.765,81.71,81.802,81.673,81.71,81.673,81.6,81.618,81.691,81.728,81.783,81.783,81.783
nthroot_08966,76.995,77.178,78.279,78.426,78.481,78.518,78.518,78.371,78.83,78.499,78.536,78.389,78.554,79.215,78.976,79.196,79.233,79.582,79.16,79.802,79.618,79.673,79.215,79.508,79.38,79.765,79.417,79.545,79.307,79.747,79.673,79.637,79.453,79.618,79.49,79.857,79.784,79.637,79.527,79.692,79.673,79.196,79.894,79.839,79.655,79.417,79.71,79.802,79.784
nthroot_03103,77.289,77.38,77.527,77.894,77.949,77.949,78.261,78.132,78.004,78.114,78.536,78.408,78.628,78.463,78.499,76.39,78.646,78.609,78.628,78.811,78.885,78.94,79.013,79.252,79.086,79.105,78.995,78.995,78.958,79.105,79.178,79.086,79.05,79.196,78.94,79.141,78.995,78.371,78.096,79.031,79.215,79.031,79.233,78.94,78.848,79.05,79.398,79.141,78.995
nthroot_03793,76.5,76.683,77.197,77.435,77.619,77.802,77.839,77.674,78.096,78.041,78.389,78.408,78.243,77.876,78.077,78.151,78.499,78.738,78.683,78.701,78.72,78.738,78.921,78.738,78.793,78.683,78.885,78.573,78.444,78.72,78.885,78.976,77.454,78.848,78.72,78.664,78.573,78.591,78.885,78.921,78.756,78.738,78.903,78.921,78.664,78.646,78.976,78.903,78.885
nthroot_mm05517,80.572,80.719,80.793,80.737,80.793,80.811,80.866,80.774,80.793,80.884,80.976,80.903,80.866,80.774,80.646,80.866,80.701,80.903,80.884,80.866,80.811,80.829,80.884,81.049,81.104,80.756,81.068,80.976,80.829,80.921,80.848,80.884,80.976,80.958,80.903,80.958,80.866,80.903,80.793,81.049,80.774,80.958,80.939,80.994,80.921,80.884,80.848,80.921,80.774
nthroot_mm01724,81.306,81.251,81.398,80.316,81.398,81.581,81.508,81.471,81.563,81.141,81.453,81.49,81.581,81.416,81.545,81.343,81.49,81.563,81.251,81.435,81.398,81.38,81.545,81.673,81.361,81.545,81.545,81.471,81.563,81.453,81.123,81.288,81.398,81.398,81.471,81.416,81.325,81.343,81.526,81.563,81.526,81.49,81.508,81.269,81.526,81.453,81.325,81.343,81.508
nthroot_mm08966,81.214,81.196,81.288,81.288,81.104,81.178,81.269,81.361,81.398,81.251,81.233,81.251,81.453,81.453,81.251,81.343,81.361,81.141,81.251,81.361,81.38,81.251,81.269,81.178,81.159,81.269,81.325,81.269,81.178,81.049,81.325,81.214,81.325,81.288,81.38,81.288,81.306,81.343,81.269,81.38,81.196,81.159,81.104,81.269,81.38,81.233,81.306,81.214,81.306
nthroot_06897,77.252,77.234,78.444,78.022,77.949,78.041,78.389,78.298,78.224,78.609,78.646,77.435,78.536,78.481,78.573,78.481,78.866,79.178,78.921,78.995,79.05,79.013,79.086,79.343,79.307,79.6,79.215,79.307,79.545,79.563,79.362,79.141,79.545,79.453,79.343,79.637,79.343,79.233,79.233,79.472,79.252,79.508,79.105,79.343,79.013,79.398,78.793,79.215,79.233
