,2-cps,3-cps,4-cps,5-cps,6-cps,7-cps,8-cps,9-cps,10-cps,11-cps,12-cps,13-cps,14-cps,15-cps,16-cps,17-cps,18-cps,19-cps,20-cps,21-cps,22-cps,23-cps,24-cps,25-cps,26-cps,27-cps,28-cps,29-cps,30-cps,31-cps,32-cps,33-cps,34-cps,35-cps,36-cps,37-cps,38-cps,39-cps,40-cps,41-cps,42-cps,43-cps,44-cps,45-cps,46-cps,47-cps,48-cps,49-cps,50-cps
nthroot_003448,66.226,67.694,69.162,70.116,73.253,67.896,70.354,71.143,71.253,71.895,72.023,72.299,72.299,71.473,72.739,72.042,73.381,72.922,72.427,71.785,71.913,74.17,74.885,73.601,74.867,69.657,73.088,72.959,74.078,75.931,76.243,73.693,75.986,74.537,73.032,75.546,73.546,79.545,74.041,74.629,74.812,76.757,76.353,75.161,76.903,76.243,76.793,76.133,77.013
nthroot_006897,65.841,67.657,68.428,70.794,69.143,70.794,69.84,71.235,70.391,72.06,72.445,71.968,72.482,73.124,72.39,71.253,71.858,73.032,71.583,71.968,74.28,71.657,69.437,73.876,74.5,73.821,74.867,74.72,71.73,72.262,75.454,75.344,75.748,75.821,74.225,74.94,73.124,75.784,73.418,73.95,71.326,74.72,71.858,76.316,76.793,75.032,75.362,76.17,75.491
nthroot_01034,65.823,67.859,69.547,70.464,69.547,71.125,70.501,69.712,71.088,71.638,68.997,72.317,72.574,72.39,72.941,73.308,72.023,72.152,73.253,73.821,73.913,73.656,73.454,74.702,71.767,72.904,74.207,75.197,72.519,74.739,72.097,74.94,74.775,72.574,75.381,72.959,75.05,76.775,76.188,72.519,76.408,74.885,76.591,74.005,76.738,75.656,75.491,76.463,74.665
nthroot_01379,65.97,67.786,69.455,69.253,70.226,69.822,70.959,71.326,71.381,70.593,71.198,71.785,72.555,72.794,72.959,73.161,71.143,74.06,73.968,71.785,73.73,73.73,72.28,74.078,74.078,73.088,73.454,74.518,74.463,75.509,75.326,75.839,75.179,73.913,74.225,75.711,74.72,75.216,73.509,72.39,72.17,76.408,76.059,76.5,75.564,75.216,75.894,76.573,76.059
nthroot_01724,66.171,67.639,69.327,70.281,68.409,70.959,71.253,71.491,69.694,72.445,72.519,72.17,72.097,72.592,73.216,71.638,71.602,71.748,70.409,70.593,74.298,74.482,72.647,74.812,73.84,75.069,71.987,75.472,75.582,74.757,74.243,75.216,74.427,75.05,73.528,76.371,76.041,73.766,73.106,75.913,75.197,75.087,75.161,76.61,73.326,76.445,72.097,73.088,75.326
nthroot_02069,66.208,67.731,68.978,70.446,70.042,71.106,70.849,71.253,70.868,72.244,72.372,73.289,72.5,73.014,72.721,70.721,70.556,73.161,74.225,74.977,72.922,74.72,75.05,74.041,74.243,74.573,74.096,74.39,72.647,75.216,74.794,74.445,73.473,72.739,75.619,76.426,73.509,74.372,76.371,76.114,72.629,75.271,72.299,75.711,72.317,76.243,75.693,72.776,73.418
nthroot_02414,65.878,67.566,68.868,69.639,70.427,70.629,71.602,70.629,71.07,72.666,71.051,71.565,72.445,71.822,72.152,73.289,74.152,74.372,71.528,71.987,71.473,71.638,71.51,74.06,73.454,75.179,73.785,74.023,72.904,73.601,73.601,72.794,74.023,71.913,75.564,75.986,74.849,72.299,73.069,74.61,73.234,75.417,77.619,76.151,73.399,72.023,76.298,75.784,76.591
nthroot_02759,66.098,67.676,69.235,70.116,70.556,71.363,71.858,71.198,72.115,72.39,72.189,72.409,73.124,72.904,71.895,73.564,73.821,71.877,73.161,73.986,79.875,72.189,73.711,73.088,73.143,74.39,72.244,74.463,73.931,73.913,73.986,73.711,75.839,74.115,75.527,75.417,75.417,75.527,73.088,76.004,73.198,74.794,73.528,75.876,74.133,74.372,75.527,75.252,76.646
nthroot_03103,66.061,67.566,68.703,69.895,70.978,70.886,71.675,71.253,72.299,71.858,72.592,73.381,73.069,71.418,73.418,71.785,73.473,72.134,73.766,73.473,73.198,74.463,72.977,75.216,73.858,74.555,74.922,73.509,73.913,74.482,73.179,76.096,75.362,74.096,72.922,74.573,75.252,75.326,72.28,74.592,73.876,74.555,75.784,73.803,76.426,76.078,72.097,75.858,75.216
nthroot_03448,66.19,66.924,68.685,69.437,71.07,71.18,70.978,71.528,72.023,72.849,72.409,72.959,71.62,73.069,72.244,72.629,73.344,73.106,71.932,73.638,74.445,74.665,73.95,73.308,73.931,73.381,72.886,74.995,72.299,73.913,74.262,74.133,75.876,75.124,75.032,72.482,76.298,73.638,72.427,74.445,73.326,75.784,72.464,75.142,72.409,76.041,75.326,74.995,74.482
